track_id,track_name,artist_names,album_name,duration_ms,popularity,explicit
30oZjF87SHCd0CE0ttGm5U,Carita de Inocente,Prince Royce,ALTER EGO,191209,63,False
3NChI0CsfFmdyBlPRONY39,Si No Te Amara Tanto,Cuisillos De Arturo Macias,Mil Heridas,213133,44,False
0IVAlb0cFCH1cQ974iR1TU,Ms. Fat Booty,Mos Def,Black On Both Sides,223546,69,True
0ab86T6AXAUjP4M1Gw8ENT,¿Qué Nos Pasó?,DRIMS,¿Qué Nos Pasó?,210920,49,False
2FwjrbgHijrK353UA3XIIz,"The Robot With Human Hair, Pt. 2 1/2",Dance Gavin Dance,Downtown Battle Mountain II,276146,36,True
5YBVDvTSSSiqv7KZDeUlXA,Renegades Of Funk,Rage Against The Machine,Renegades,274160,65,False
3QjQp2bfAvLTCSi8Zhzqis,People of the Sun,Rage Against The Machine,Evil Empire,150066,65,False
1Wm8HQmsWZr1JFqnNLdhMI,Disco de Oro,Little Jesus,Disco de Oro,261453,38,False
1emxsD9TeAyYVRBV7In0Y5,Solo,Los Mesoneros,Caiga La Noche,215480,49,False
2tgxXENuQNFhxMuhhlcogC,Cama,SERBIA,Cama,250480,46,False
54eZmuggBFJbV7k248bTTt,A Horse with No Name,"America, George Martin",America,252239,79,False
5eYH5q40bOcyH3luSL4XaP,Estonia,Slomosa,Slomosa,267562,32,False
7EAaSaj1OgZgMX5yZyFXFC,Freaky,Tory Lanez,LoVE me NOw (ReLoAdeD),173926,51,True
7G3lxTsMfSx4yarMkfgnTC,The World Is Yours,Nas,Illmatic,290573,69,True
